"Original Text","Initial","Machine translation","Better translation","Best translation"
"你愿意收留她们，本王当然没有意见，不过带回去后你可要好好调教。","","","",""
"多谢王爷。","","","",""
"【对栗子糕道】把她们带上来吧。","","","",""
"【飞下土坡】","","","",""
"se/jing.ogg","","","",""
"【被栗子糕的出现吓了一跳】","","","",""
"【连忙上前拜倒】多谢相救，小女子感激不尽。","","","",""
"你不必谢我...","","","",""
"（我不是来救你们的...）","","","",""
"救命之恩——","","","",""
"se/blmcgq.ogg","","","",""
"music/banyueyelu.ogg","","","",""
"——黎双双话音未落，眼角便看到远处任无晴的身子颤动了起来，手掌撑着地似乎要挣扎起身！","","","",""
"se/suspense.ogg","","","",""
"【大惊失色，指向任无晴】她、她诈尸了！","","","",""
"【也是一惊】","","","",""
"【反应过来】（是没有死透...）","","","",""
"（若让她活过来，我和一一就只有死路一条...）","","","",""
"【强忍着心中的恐惧，走到任无晴身侧，捡起地上的匕首】","","","",""
"黎双双咬着牙，干脆利落的将匕首插进了任无晴的心口，温热的血登时喷溅了一地。","","","",""
"se/heartbeat.ogg","","","",""
"【瞪着眼前的身影张嘴正要说什么，被喉咙涌出的血沫堵住，眼睛开始涣散起来】","","","",""
"【骇然后退】姐，你！","","","",""
"你在夜色下虽未能看清楚黎双双面上的表情，但她干脆利落的手法却是尽收眼底。","","","",""
"（如此看来，她也算是个可造之材，只需稍加培养便可成为一把带花利刃。）","","","",""
"【也颇感意外】看来她与你口中手无缚鸡之力的弱女子还是有些不同的。","","","",""
"【掌心冒汗】我...","","","",""
"【紧握暗器，心道】（你亲自手刃仇人，也算是圆满了...我还有任务在身，对不住了！）","","","",""
"【右手欲扬】——","","","",""
"——栗子。","","","",""
"【一惊，收手】主人？","","","",""
"【与容都王一同走来】","","","",""
"你掩埋好这里的尸体，黎家两位姑娘跟我来。","","","",""
"【不解】（难道主人改变主意了？）","","","",""
"{color=#ffffff}一个月后{/color}","","","",""
"music/222-huahai.ogg","","","",""
"se/carriage.ogg","","","",""
"岳国的京城名为怀熹，城内都是青石板铺的路，日光散在道路两侧的各式铺子中，将繁荣的景象映了出来，远处哒哒的马蹄声带着车轮压过石板，一辆低调的马车缓缓向南驶去。","","","",""
"【掀开帘子，探头出去】","","","",""
"哇，姐，这里就是京城诶！","","","",""
"【心事重重】嗯。","","","",""
"【见她兴致不高，默默闭上嘴，心道】（在青楼里卖艺总比死了强吧？姐姐为什么这么抗拒啊？）","","","",""
"【伸手摸了摸黎一一的头】","","","",""
"黎双双","","","",""
"（这傻孩子不懂...青楼虽是清雅之地，只需与文人墨士来往，但青楼女子身份低贱，终究是要被人轻视的。）","","","",""
"（更何况，[xing]师爷深受容都王器重，来京城绝非只为经营青楼这么简单...）","","","",""
"se/neigh.ogg","","","",""
"王爷亲信","","","",""
"【拉住缰绳】","","","",""
"【低声道】王爷、[xing]师爷，我们到了。","","","",""
"【颔首】","","","",""
"辛苦啦！","","","",""
"【率先跃下马车，转身将你扶了下来】","","","",""
"【仍坐在车上】本王巳时还要进宫面圣，就不陪你进去了。","","","",""
"【行礼】","","","",""
"【对栗子糕道】你主人内力受损，记得让他按时服用雪参丸，争取早日康复，恢复武功。","","","",""
"是，栗子谨记！","","","",""
"【坐着马车离去】","","","",""
"【指向前方一座楼房】主人，那里就是王爷去年初以卢大人的名义为我们买下的楼！","","","",""
"【顺着栗子糕的指尖看过去】","","","",""
"王爷为它赐名“风信楼”，是不是很有寓意？","","","",""
"【点头】进去吧。","","","",""
"嗯嗯，双双姑娘、一一姑娘，请随我来。","","","",""
"se/door.ogg","","","",""
"【不断用手挥散迎面而来的满屋尘灰】咳咳....","","","",""
"【环顾四周】","","","",""
"这地方真宽敞，还有二楼呢！","","","",""
"是呀，只是灰尘重了些。","","","",""
"打扫一下就行了，我去找扫帚！","","","",""
"栗子糕","","","",""
"无","","","",""
"黎一一","","","",""
"是否确认选择{color=#ff0}【[nandu]】{/color}？","","","",""
"【确认】","","","",""
"普通难度","","","",""
"无敌模式","","","",""
"地狱难度","","","",""
"提示：{color=#ff0000}点击右上角的日期{/color}进入菜单，可查看属性、物品、成就、存读档、回放以及设置，所有{color=#ff0000}快捷键{/color}请在设置界面查看（从{color=#ff0000}菜单左栏{/color}的“设”字进入）。","","","",""
"se/resident.ogg","","","",""
"{color=#ffffff}容都王希望你在怀熹广结{/color}{color=#ff0000}人脉{/color}{color=#ffffff}、{/color}{color=#ff0000}培养{/color}{color=#ffffff}出可执行任务的手下，并且攒到至少{/color}{color=#ff0000}100000金钱{/color}{color=#ffffff}。{/color}","","","",""
"人迹寥寥","","","",""
"music/chuntiandeganjue.ogg","","","",""
"经过一番清扫后，你们顺利入住。不出意外的话，风信楼{color=#ff0000}两个月后{/color}就能开张营业了。","","","",""
"欢迎主人入住风信楼！
两个月后就要开张啦，让我们看看有什么可以准备的吧！","","","",""
"face/Q_LZG_laugh.png","","","",""
"TE_press_shouxia1","","","",""
"好人","","","",""
"高冷","","","",""
"普通","","","",""
"虚伪","","","",""
"坏人","","","",""
"xuanzebg","","","",""
"gui/button/BT_diyu_%s.png","","","",""
"nandu","","","",""
"gui/button/BT_wudi_%s.png","","","",""
"gui/button/BT_putong_%s.png","","","",""
"youxinandu","","","",""
"changantiaoguo","","","",""
"huiyik","","","",""
"gui/button/BT_guanbi_%s.png","","","",""
"K_ESCAPE","","","",""
"gonggao","","","",""
"c r","","","",""
"vp","","","",""
"{size=33}{font=jiangxizhuokai.ttf}{image=images/PF_nian.png} {color=#FCA03F}2023.1.22更新：
新年礼物！全员新动作皮肤！：{/color}{/font}{/size}","","","",""
"blackoutline","","","",""
"{size=-12}{i}{font=NotoSansSC-Regular.otf}“不知不觉新春又至，许久不见，不知师爷们近来可好？感谢师爷们在过去一年间的关心与挂念，2022年可谓多事之秋，我们奔波忙碌于现实工作与新游制作之间，一度无暇回应师爷们的问候，为此感到十分抱歉。幸而时至今日，新游已初具雏形，风信楼的DLC也在稳定制作，一切渐入佳境，期待着与师爷们的相见。”{/font}{/i}{/size}
{font=jiangxizhuokai.ttf}{size=-9}{color=#FFEA7C}风信楼的团圆宴已一如往年备好，而我们准备了一份不同往日的惊喜福利——{/color}{color=#EA5151}全员新动作皮肤“有你的新年”{/color}，通关一次即可获取！{/size}{/font}","","","",""
"{size=-2}感谢师爷们一直以来的陪伴与支持，新年快乐，祝愿师爷们在新的一年里顺遂无虞，皆得所愿~
以下为{color=#9A3712}其他更新内容：{/color}
-补上了{color=#b91920}容都王乞巧节“提前进京”事件的CG{/color}！
-增加了{color=#b91920}为雎鸠死后追封爵位并赡养其养父的个人结局{/color}
-增加了{color=#b91920}聂香成为琴艺大家的个人结局{/color}
-在团圆番外中增加了聂香是琴艺大家时和其他角色的不同分支对话
-可在{color=#b91920}游戏开局左上角开/关的【已有加成与奖励】{/color}不再仅限于人物属性加成，而是同时影响上周目继承的属性道具+所有特殊成就奖励（如此增加了完全重新开荒的可能，也方便完成苍蝇腿儿这样的成就）
-若出现在回忆剧情中的已入宫手下的当前皮肤为宫花寂寞红，其将自动换回初始皮肤以免混淆
-2年3月的主线剧情（介绍红拂之争）不会再被前世为侠士的特殊剧情覆盖
-修正团圆番外中一些分支剧情的判定条件
-修复送栗子糕中级谱子才艺加少了的问题
-修正玉漏左丞线忠心低时栗子糕个人结局判定错误的问题
-修复金屋藏玉结局能开启团圆番外的问题
-修复开局加成默认为开启但按钮显示关闭的问题
-调整最后一年给王爷写信不加基础忠心的问题
-在玉漏加入很久后才点击她的早期才艺剧情会出现回忆框
-修正几处文本错误/错别字{/size}","","","",""
"gonggaostyle","","","",""
"{size=20}{font=jiangxizhuokai.ttf}{color=#FCA03F}2022.7.2小补丁{/color}{/font}{/size}","","","",""
"{size=-7}-修复攻略秦嫫儿的最后一个固定忙里偷闲事件无法触发的问题
-修复秦嫫儿为头牌时的一处文本错误，并补充了一段相关主线剧情（4年10月）
-根据不同角色的忙里偷闲事件数量缩短了事件的随机间隔时间
-修复无敌模式无法解锁官职成就的问题
-如果第一次触发【带黎双双/吴氏看病】特殊事件后并没有点进去，第二次满足条件后仍可触发该事件
-修复栗子糕“醋意”事件和黎一一“不想你看别人”事件中的人名显示错误
-修复栗子糕被绑架后仍能谱曲的问题
-修复当角色的心情＞120时，魔鬼训练会导致心情直接降到120而非减5点的问题
-补充了玉漏攻略条件里对于如何开启武功剧情的更详细的提示
-修改几个错别字和人名显示错误","","","",""
"{size=20}{font=jiangxizhuokai.ttf}{color=#FCA03F}2022.4.20小补丁{/color}{/font}{/size}","","","",""
"{size=-7}-补上了{color=#b91920}秦嫫儿乞巧节“难得”事件的抱花瓜CG{/color}！
-修复达成辞官归隐类结局仍可触发团圆番外的问题
-修复部分忙里偷闲吃醋事件（夕芸的“做一对比翼鸟”和任无晴的“阴阳怪气”）中的人名显示错误
-修复新年送玉漏粽子不加次月体力的问题
-如果6年6月选择带雎鸠去王府，出发前的一个月雎鸠将留在楼里不会走
-修复雎鸠Q版事件“心情好当然是因为师爷”不再触发的问题
-修复团圆番外中栗子糕帮厨对象人名显示错误的问题
-修复玉漏进宫后在黄婵剧情中出场却没有显示回忆框的问题
-修复已知报错bug、几个文本错误","","","",""
"{size=33}{font=jiangxizhuokai.ttf}{color=#FCA03F}2022.1.28大更新：
13张新CG！ 团圆番外！ 和攻略对象互动功能！ 获取方式调整！：{/color}{/font}{/size}","","","",""
"{size=-2}-增加近2万字的结局后友情向{color=#b91920}【大团圆番外·未来可期】{/color}，番外中有超多细小分支（达成条件：主角存活，称帝/为王/官职正三品以上，非开放或特殊结局；至少4个除栗子糕和攻略对象以外的角色前来赴宴，并其中至少有2人不在主角身边任职，角色赴宴条件各有不同）
-番外中包含Q版{color=#b91920}【全家福CG】{/color}一张，包含皇宫与风信楼外两种背景，只有前来赴宴的角色会出现在CG中（但只要角色来过一次，就会被图鉴中的CG记录，可以通过多周目积累让所有人出现在图鉴中）
-新增{color=#b91920}3年7月【任无晴】刺杀CG{/color}一张
-增加【栗子糕】6年6月攻略线{color=#b91920}[[同游容都事件·喂主人吃果子]CG{/color}一张
-增加【黎一一】7年7月攻略线{color=#b91920}[[花灯中的愿望事件]CG{/color}一张
-增加【黎双双】7年7月攻略线{color=#b91920}[[相配的面具事件]CG{/color}一张
-增加【聂香】7年7月攻略线{color=#b91920}[[送上门的礼物事件·礼物是本小姐]CG{/color}一张
-增加【关仙子】6年6月攻略线{color=#b91920}[[戏水事件]CG{/color}一张
-增加【任无晴】6年6月攻略线{color=#b91920}[[阳光下的你事件]CG{/color}一张
-增加【吴氏】7年7月攻略线{color=#b91920}[[高山、密林，还有你事件]CG{/color}一张
-增加【夕芸】6年6月攻略线{color=#b91920}[[燕子风筝事件]CG{/color}一张
-增加【玉漏】6年6月攻略线{color=#b91920}[[天作之合事件]CG{/color}一张
-增加【雎鸠】7年7月攻略线{color=#b91920}[[互明心意事件]CG{/color}一张
-增加【黄婵】7年7月攻略线{color=#b91920}[[菩提树下事件]CG{/color}一张
-已打通过以上事件的师爷可直接在CG图鉴里查看
-{color=#b91920}秦嫫儿和容都王CG仍在加紧绘制中{/color}，之后更新补上......","","","",""
"{image=images/更新卡2.jpg}
   
    玩家交流+BUG反馈群：
    {color=#b91920}757347447{/color}（一群）
    {color=#b91920}693318701{/color}（二群）
    《风信楼》内容详情：
    {color=#b91920}173个{/color}正式结局+番外、
    {color=#b91920}746+个{/color}角色专属剧情、
    {color=#b91920}280+{/color}非攻略手下结局、
    {color=#b91920}270+{/color}事件（特殊和Q版）、
    {color=#b91920}102个{/color}成就、
    {color=#b91920}1446组{/color}选项、
    {color=#b91920}169万+{/color}字。
    图鉴中可以{color=#b91920}回放{/color}全部结局+{color=#b91920}查看攻略{/color}
 
    {a=https://store.steampowered.com/app/1126310/_/}【商店页面传送门】{/color}","","","",""
"
————————————————————
{size=-2}-增加{color=#b91920}【与攻略对象乞巧后互动】{/color}（替代忙里偷闲），让攻略人物多多陪伴！
-栗子糕乞巧后互动功能：6个对话循环、6个事件
-黎一一乞巧后互动功能：5个对话循环、7个事件
-黎双双乞巧后互动功能：5个对话循环、8个事件
-聂香乞巧后互动功能：5个对话循环、8个事件
-任无晴同游容都后互动功能：13个对话循环（有意回避时期/言归于好后）、8个事件
-秦嫫儿乞巧后互动功能：6个对话循环、6个事件
-关仙子乞巧后互动功能：6个对话循环、8个事件
-黄婵乞巧后互动功能：5个对话循环、7个事件
-吴氏乞巧后互动功能：6个对话循环、9个事件
-夕芸乞巧后互动功能：6个对话循环、9个事件
-玉漏乞巧后互动功能：5个对话循环、7个事件
-雎鸠乞巧后互动功能：5个对话循环、7个事件
-容都王乞巧后互动功能：5个对话循环、6个事件
-增加手下{color=#b91920}秦嫫儿的收集途径{/color}：1）和秦嫫儿初次见面不再局限于黎双双的才艺剧情，只要在第1年选择带手下黎双双出门就可以触发秦嫫儿剧情2）触发过初见前置后可在3年-4年的【随便逛逛】中遇到秦嫫儿并招收
-增加手下{color=#b91920}黄婵的收集途径{/color}：1）和黄婵初次见面不再局限于栗子糕的轻功分支。吴氏被打伤或黎双双被野猪撞伤后将触发可以带手下去仁心堂的特殊事件
-增加手下{color=#b91920}任无晴的收集途径{/color}：1）被任无晴发现行踪的剧情不再局限于2年6月的小吃铺，只要在3年7月之前选择带手下栗子糕出门就可以触发该前置
-增加{color=#b91920}特殊事件{/color}1个
-更新游戏内的【收集全员攻略】（可从养成界面左上角“帮助”按钮中查看）
-结局预览中的主角默认名从“官方”改为“谢信”
-主线任务只需派出一名杀手时，直接点击他人头像即可切换杀手一号，无需先取消已选手下了
-修复无敌模式达成结局【初心】与【桃李满天下】无法立即获得特殊成就【亦师亦友】的bug；有该问题的师爷可以前往游戏标题界面点击左上角“同步成就”按钮直接获取该成就
-修复个别Q版小剧情无法成功记录在事件列表中的问题
-修复雎鸠的乞巧节“互明心意”事件没有记录在事件列表中的问题
-修复黎一一/秦嫫儿/栗子糕参与过祭祀或探路主线任务，及时伞事件却仍显示条件未完成的问题
-修复雎鸠死后在回忆剧情里出场皮肤未重置的问题
-修复预览结局后新开局秦嫫儿出场立绘可能为已恢复容貌的bug
-修复十月花离开后仍能点进季常任务“十月花的客人”的问题
-取消部分特殊事件的体力消耗
-修复已知BUG
-优化部分文本","","","",""
"#5d292b","","","",""
"#eab7a2","","","",""
"jiangxizhuokai.ttf","","","",""
"聂香","","","",""
"雎鸠","","","",""
"吴氏","","","",""
"玉漏","","","",""
"十月花","","","",""
"黄婵","","","",""
"秦嫫儿","","","",""
"se/fail.ogg","","","",""
"路途劳顿","","","",""
"[shashou]和[shashou2]一路舟车劳顿，力倦神疲。
【[shashou]、[shashou2]武功】{color=#ff0000}↓[dishisange]{/color}","","","",""
"[shashou]一路舟车劳顿，力倦神疲。
【[shashou]武功】{color=#ff0000}↓[dishisange]{/color}","","","",""
"[shashou]和[shashou2]做任务时受了些伤，需要静养一阵。
【[shashou]、[shashou2]武功】{color=#ff0000}↓[dishisange]{/color}","","","",""
"[shashou]做任务时受了些伤，需要静养一阵。
【[shashou]武功】{color=#ff0000}↓[dishisange]{/color}","","","",""
"旧版头像不支持【有你的新年】皮肤，请将使用着该皮肤的角色的皮肤换下后再切换为头像！","","","",""
"se/success.ogg","","","",""
"成功切换回旧版头像！可随时返回此界面更改。","","","",""
"新版立绘不支持【开学季】皮肤，请将使用着该皮肤的手下的皮肤换下后再切换为立绘！","","","",""
"换","","","",""
"成功切换回新版立绘！可随时返回此界面更改。","","","",""
"gui/button/BT_jiuban_%s.png","","","",""
"iconVersion","","","",""
"myalign","","","",""
"sound","","","",""
"gui/button/BT_xinban_%s.png","","","",""
"xuanzehuafeng","","","",""
"gui/button/BT_queren_idle.png","","","",""
"dishisange","","","",""
"gui/button/BT_queren_hover.png","","","",""
"gui/button/qh_%s.png","","","",""
"qiehuanhuafeng","","","",""
"huafeng2","","","",""
"black","","","",""
"才艺剧情：未结束","","","",""
"武功剧情：未结束","","","",""
"{color=#98ee93}才艺剧情：已结束{/color}","","","",""
"{color=#98ee93}武功剧情：已结束{/color}","","","",""
"wfr","","","",""
"冷月双剑","","","",""
"中级谱子","","","",""
"胭脂水粉","","","",""
"lss","","","",""
"高级谱子","","","",""
"佳人剑","","","",""
"云纹罗衣","","","",""
"lyy","","","",""
"诗卷","","","",""
"暗器","","","",""
"lyy2","","","",""
"qme","","","",""
"任意匕首","","","",""
"织锦披风","","","",""
"lzg","","","",""
"rwq","","","",""
"锋利的剑","","","",""
"xy","","","",""
"caiyi","","","",""
"wugong","","","",""
"{size=-4}不要闲着{/size}

培养一次手下
奖励{color=#D35120}两百金钱{/color}","","","",""
"完成","","","",""
"领取","","","",""
"music/161-gangqin.ogg","","","",""
"突破后","","","",""
"黎双双才艺","","","",""
"吴氏才艺","","","",""
"{size=-4}双双姐成功{color=#ff0}习得了技能{/color}，以后定会大有用处！
接下来主人可以继续对手下们进行培养，或者自己四处熟悉熟悉。{/size}","","","",""
"face/Q_LZG_happy.png","","","",""
"leave","","","",""
"别忘了每个界面都是有{color=#7BDCE3}帮助和介绍{/color}的，只要把鼠标移到{image=question_small}按钮上，就可以随时查看详情了！","","","",""
"face/Q_LZG_normal.png","","","",""
"好啦，话不多说，
就预祝我们风信楼生意兴隆吧~！","","","",""
"（我的才艺之路已现雏形，但在某个世界的另一个“我”，此时会不会{color=#7BDCE3}拥有着完全不同的命运{/color}呢？）","","","",""
